Product,Flow,Country,Product Classification,State,Unit,2024
0--All Merchandise,Exports,Canada,NAICS - 3,Michigan,Millions of USD,"$23,299"
336--Transportation Equipment,Exports,Canada,NAICS - 3,Michigan,Millions of USD,"$14,149"
"333--Machinery, Except Electrical",Exports,Canada,NAICS - 3,Michigan,Millions of USD,"$1,441"
331--Primary Metal Manufactures,Exports,Canada,NAICS - 3,Michigan,Millions of USD,"$1,040"
311--Processed Foods,Exports,Canada,NAICS - 3,Michigan,Millions of USD,$888
325--Chemicals,Exports,Canada,NAICS - 3,Michigan,Millions of USD,$825
211--Oil & Gas,Exports,Canada,NAICS - 3,Michigan,Millions of USD,$820
"335--Electrical Equipment, Appliances & Components",Exports,Canada,NAICS - 3,Michigan,Millions of USD,$812
332--Fabricated Metal Products,Exports,Canada,NAICS - 3,Michigan,Millions of USD,$631
326--Plastics & Rubber Products,Exports,Canada,NAICS - 3,Michigan,Millions of USD,$351
212--Minerals & Ores,Exports,Canada,NAICS - 3,Michigan,Millions of USD,$328
334--Computer & Electronic Products,Exports,Canada,NAICS - 3,Michigan,Millions of USD,$308
327--Nonmetallic Mineral Products,Exports,Canada,NAICS - 3,Michigan,Millions of USD,$247
322--Paper,Exports,Canada,NAICS - 3,Michigan,Millions of USD,$229
111--Agricultural Products,Exports,Canada,NAICS - 3,Michigan,Millions of USD,$215
324--Petroleum & Coal Products,Exports,Canada,NAICS - 3,Michigan,Millions of USD,$207
339--Miscellaneous Manufactures,Exports,Canada,NAICS - 3,Michigan,Millions of USD,$195
910--Waste And Scrap,Exports,Canada,NAICS - 3,Michigan,Millions of USD,$141
337--Furniture & Fixtures,Exports,Canada,NAICS - 3,Michigan,Millions of USD,$136
321--Wood Products,Exports,Canada,NAICS - 3,Michigan,Millions of USD,$111
930--Used Or Second-Hand Merchandise,Exports,Canada,NAICS - 3,Michigan,Millions of USD,$71
323--Printed Matter & Related Products,Exports,Canada,NAICS - 3,Michigan,Millions of USD,$42
313--Textiles & Fabrics,Exports,Canada,NAICS - 3,Michigan,Millions of USD,$29
314--Textile Mill Products,Exports,Canada,NAICS - 3,Michigan,Millions of USD,$23
990--Other Special Classification Provisions,Exports,Canada,NAICS - 3,Michigan,Millions of USD,$16
312--Beverages & Tobacco Products,Exports,Canada,NAICS - 3,Michigan,Millions of USD,$11
112--Livestock & Livestock Products,Exports,Canada,NAICS - 3,Michigan,Millions of USD,$11
315--Apparel & Accessories,Exports,Canada,NAICS - 3,Michigan,Millions of USD,$9
316--Leather & Allied Products,Exports,Canada,NAICS - 3,Michigan,Millions of USD,$6
114--Fish & Other Marine Products,Exports,Canada,NAICS - 3,Michigan,Millions of USD,$2
980--Goods Returned (Exports and Imports) and Reimports - Canada Only,Exports,Canada,NAICS - 3,Michigan,Millions of USD,$2
113--Forestry Products,Exports,Canada,NAICS - 3,Michigan,Millions of USD,$0
