Product,Flow,Country,Product Classification,State,Unit,2024
0--All Merchandise,Imports,Mexico,NAICS - 3,Michigan,Millions of USD,"$75,217"
336--Transportation Equipment,Imports,Mexico,NAICS - 3,Michigan,Millions of USD,"$63,066"
"335--Electrical Equipment, Appliances & Components",Imports,Mexico,NAICS - 3,Michigan,Millions of USD,"$3,760"
334--Computer & Electronic Products,Imports,Mexico,NAICS - 3,Michigan,Millions of USD,"$2,045"
"333--Machinery, Except Electrical",Imports,Mexico,NAICS - 3,Michigan,Millions of USD,"$1,358"
332--Fabricated Metal Products,Imports,Mexico,NAICS - 3,Michigan,Millions of USD,"$1,106"
326--Plastics & Rubber Products,Imports,Mexico,NAICS - 3,Michigan,Millions of USD,$716
111--Agricultural Products,Imports,Mexico,NAICS - 3,Michigan,Millions of USD,$504
337--Furniture & Fixtures,Imports,Mexico,NAICS - 3,Michigan,Millions of USD,$465
316--Leather & Allied Products,Imports,Mexico,NAICS - 3,Michigan,Millions of USD,$461
339--Miscellaneous Manufactures,Imports,Mexico,NAICS - 3,Michigan,Millions of USD,$414
327--Nonmetallic Mineral Products,Imports,Mexico,NAICS - 3,Michigan,Millions of USD,$288
980--Goods Returned (Exports and Imports) and Reimports - Canada Only,Imports,Mexico,NAICS - 3,Michigan,Millions of USD,$263
311--Processed Foods,Imports,Mexico,NAICS - 3,Michigan,Millions of USD,$152
930--Used Or Second-Hand Merchandise,Imports,Mexico,NAICS - 3,Michigan,Millions of USD,$126
314--Textile Mill Products,Imports,Mexico,NAICS - 3,Michigan,Millions of USD,$101
325--Chemicals,Imports,Mexico,NAICS - 3,Michigan,Millions of USD,$64
315--Apparel & Accessories,Imports,Mexico,NAICS - 3,Michigan,Millions of USD,$59
322--Paper,Imports,Mexico,NAICS - 3,Michigan,Millions of USD,$55
321--Wood Products,Imports,Mexico,NAICS - 3,Michigan,Millions of USD,$55
910--Waste And Scrap,Imports,Mexico,NAICS - 3,Michigan,Millions of USD,$51
312--Beverages & Tobacco Products,Imports,Mexico,NAICS - 3,Michigan,Millions of USD,$36
331--Primary Metal Manufactures,Imports,Mexico,NAICS - 3,Michigan,Millions of USD,$36
313--Textiles & Fabrics,Imports,Mexico,NAICS - 3,Michigan,Millions of USD,$16
323--Printed Matter & Related Products,Imports,Mexico,NAICS - 3,Michigan,Millions of USD,$13
212--Minerals & Ores,Imports,Mexico,NAICS - 3,Michigan,Millions of USD,$6
114--Fish & Other Marine Products,Imports,Mexico,NAICS - 3,Michigan,Millions of USD,$2
112--Livestock & Livestock Products,Imports,Mexico,NAICS - 3,Michigan,Millions of USD,$1
324--Petroleum & Coal Products,Imports,Mexico,NAICS - 3,Michigan,Millions of USD,$0
990--Other Special Classification Provisions,Imports,Mexico,NAICS - 3,Michigan,Millions of USD,$0
113--Forestry Products,Imports,Mexico,NAICS - 3,Michigan,Millions of USD,$0
